order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX05220,2018-09-27,16:57:27,Dinner,BK,"[('Salmon', 8), ('Shrimp', 3), ('Fish&Chips', 2), ('Pasta', 7)]",752.5,-37.8077584,144.9436271,0,8.09,16.1460918
ORDY02858,2018-12-26,19:49:51,Dinner,TP,"[('Pasta', 9), ('Salmon', 1), ('Fish&Chips', 2)]",358.5,-37.8017321,144.9576151,0,9.51,13.2512544
ORDJ07185,2018-11-09,18:18:35,Dinner,TP,"[('Fish&Chips', 1), ('Salmon', 4), ('Shrimp', 9)]",685.0,-37.8147184,144.950696,0,9.005,13.1747483
ORDB06291,2018-01-03,08:00:00,Breakfast,TP,"[('Cereal', 3), ('Coffee', 7), ('Pancake', 8)]",309.5,-37.8127591,144.9413676,1,10.136,6.0854967
ORDI09940,2018-07-18,14:35:29,Lunch,NS,"[('Burger', 3), ('Fries', 7)]",177.0,-37.8003467,144.9781135,0,6.858,12.3013542
ORDJ10319,2018-01-21,08:40:33,Breakfast,tp,"[('Cereal', 4), ('Eggs', 10), ('Coffee', 5), ('Pancake', 6)]",487.0,-37.80492,144.9636841,0,9.236,13.2072427
ORDZ08836,2018-04-02,11:02:32,Breakfast,bk,"[('Eggs', 6), ('Cereal', 9), ('Pancake', 8), ('Coffee', 1)]",522.5,-37.8029687,144.9381927,0,9.74,14.993687
ORDK03735,2018-08-11,15:16:03,Lunch,BK,"[('Chicken', 9), ('Steak', 6)]",558.0,-37.820104,145.015819,0,4.584,13.2034569
ORDJ00527,2018-04-26,11:43:05,Breakfast,TP,"[('Eggs', 8), ('Coffee', 8), ('Cereal', 1)]",257.0,-37.8182517,144.9651695,0,7.518,10.598125
ORDY10978,2018-06-20,13:34:38,Lunch,TP,"[('Burger', 5), ('Chicken', 7), ('Salad', 6)]",482.2,-37.8117774,144.9561848,0,4.738,12.2621623
ORDC00432,2018-05-27,12:43:56,Lunch,NS,"[('Fries', 10), ('Salad', 6), ('Steak', 4)]",403.2,-37.8248384,144.9913285,0,4.262,16.9352339
ORDZ03322,2018-08-18,15:36:20,Lunch,NS,"[('Shrimp', 9), ('Fries', 4), ('Chicken', 6)]",645.0,-37.8129552,144.9680058,0,7.657,15.5635967
ORDZ10584,2018-10-11,17:17:44,Dinner,NS,"[('Shrimp', 7), ('Pasta', 8), ('Fish&Chips', 9)]",913.0,-37.8120372,144.953404,0,8.44,14.2780938
ORDX01196,2018-12-16,19:29:34,Dinner,BK,"[('Shrimp', 1), ('Salmon', 6)]",300.0,-37.8244062,144.9447001,0,11.156,19.4053973
ORDA09024,09-01-2018,08:10:08,Breakfast,BK,"[('Pancake', 4), ('Cereal', 4)]",181.0,-37.8058169,144.9812881,1,6.129,5.6471149
ORDI03937,2018-01-11,08:20:16,Breakfast,bk,"[('Coffee', 4), ('Eggs', 3), ('Cereal', 7)]",243.0,-37.8072702,144.9569093,1,8.135,6.5244967
ORDX00943,2018-12-05,19:09:17,Dinner,BK,"[('Pasta', 7), ('Shrimp', 1), ('Salmon', 10), ('Fish&Chips', 5)]",831.5,37.814424,145.0149411,0,4.738,11.3046946
ORDJ01619,2018-10-30,17:58:18,Dinner,TP,"[('Pasta', 9), ('Coffee', 3)]",409.5,-37.8118901,144.9613941,0,8.46,12.8960697
ORDK05267,2018-07-27,14:45:38,Lunch,BK,"[('Chicken', 2), ('Burger', 3), ('Fries', 6), ('Steak', 6)]",499.0,-37.7998513,144.9812343,1,6.732,12.737712
ORDC07221,2018-04-08,11:12:40,Breakfast,NS,"[('Pancake', 5), ('Cereal', 10)]",331.25,-37.8176145,144.967221,0,8.342,15.9917081
ORDB09143,2018-09-13,16:27:02,Dinner,TP,"[('Pasta', 7), ('Salmon', 7), ('Fish&Chips', 4)]",619.5,-37.8006539,144.953847,0,7.885,13.6587094
ORDA01035,2018-01-21,08:40:33,Breakfast,BK,"[('Eggs', 5), ('Cereal', 7), ('Coffee', 2)]",272.0,37.8065523,144.9651534,0,7.282,14.5852742
