order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDA08056,2018-06-17,13:34:38,Lunch,BK,"[('Steak', 10), ('Burger', 3), ('Fries', 1), ('Salad', 3), ('Chicken', 7)]",830.6,-37.8097389,144.9463419,0,9.146,17.7001119
ORDA07709,2018-09-20,16:37:10,Dinner,BK,"[('Fish&Chips', 5), ('Pasta', 8)]",395.0,-37.8145666,145.0143837,0,4.417,10.7647573
ORDY04563,2018-10-01,16:57:27,Dinner,,"[('Shrimp', 9), ('Pasta', 9), ('Fish&Chips', 10)]",1083.5,-37.8118185,144.9751816,0,,13.3530603
ORDZ09301,2018-07-04,14:05:04,Lunch,NS,"[('Chicken', 10), ('Salad', 6), ('Fries', 1)]",435.2,-37.8041384,145.0021403,0,9.274,14.7289023
ORDI07845,2018-10-22,17:48:10,Dinner,NS,"[('Shrimp', 2), ('Pasta', 9)]",355.5,-37.8200187,144.9612976,0,8.931,14.8284675
ORDY09685,2018-06-21,13:34:38,Lunch,TP,"[('Chicken', 6), ('Steak', 9), ('Fries', 2), ('Burger', 6)]",807.0,-37.8043734,144.9286364,0,11.358,
ORDZ06387,2018-05-28,12:54:05,Lunch,,"[('Salad', 6), ('Burger', 9)]",382.2,-37.8150674,144.9735379,0,,13.646255
ORDJ01215,2018-05-31,12:54:05,Lunch,TP,"[('Salad', 1), ('Chicken', 8), ('Burger', 10), ('Fries', 1)]",595.2,-37.8079631,144.9583133,0,8.972,12.4658612
ORDY06422,2018-12-05,19:09:17,Dinner,TP,"[('Fish&Chips', 7), ('Shrimp', 2), ('Pasta', 3)]",435.5,-37.822562,144.9582048,0,8.094,12.2739714
ORDX04562,2018-03-29,10:52:23,Breakfast,BK,"[('Cereal', 6), ('Eggs', 9), ('Coffee', 10)]",399.0,-37.8115568,144.9935852,0,4.836,9.8590015
ORDB05446,2018-04-01,10:52:23,Breakfast,TP,"[('Eggs', 10), ('Coffee', 3), ('Pancake', 2)]",291.0,-37.8190077,144.9543041,0,8.395,12.499654
ORDJ07060,2018-01-09,08:10:08,Breakfast,,"[('Cereal', 4), ('Pancake', 3)]",156.75,-37.8058785,144.9818744,1,9.95,6.1655453
ORDX04292,2018-07-11,14:15:12,Lunch,BK,"[('Steak', 2), ('Chicken', 4), ('Salad', 10)]",390.0,-37.8144638,145.007796,0,3.741,9.3554726
ORDY01469,2018-09-16,16:37:10,Dinner,TP,"[('Pasta', 9), ('Shrimp', 7), ('Fish&Chips', 6)]",835.5,-37.8059182,144.9366503,0,10.628,16.6182716
ORDK00534,2018-03-23,10:42:15,Breakfast,,"[('Cereal', 6), ('Coffee', 1), ('Eggs', 1)]",155.5,-37.8148825,144.9271154,0,,16.6630163
